,AAPL,MSFT,JPM,JNJ,AMZN,XOM,GLD,TLT,SPY
AAPL,1.0,0.5315600476292548,0.36134765616914977,0.13367473260931556,0.49377109392911434,0.17209086354322034,0.05599903982284574,0.07181380737020127,0.7205723893672596
MSFT,0.5315600476292548,1.0,0.29698364211420475,-0.009594802009938182,0.6105907695739687,0.056022567692654915,0.06771078818865457,0.0254025354564272,0.6894992580814979
JPM,0.36134765616914977,0.29698364211420475,1.0,0.1724887865910831,0.3525233700485187,0.2790247603348329,0.045951730374573646,-0.07493619871979376,0.6189438592772308
JNJ,0.13367473260931556,-0.009594802009938182,0.1724887865910831,1.0,-0.008644385879365231,0.12601919241953916,0.05293173700648703,0.09500997455681516,0.15837655848430646
AMZN,0.49377109392911434,0.6105907695739687,0.3525233700485187,-0.008644385879365231,1.0,0.08172852289596452,0.05600964446426931,0.04758548898147932,0.7032085687576197
XOM,0.17209086354322034,0.056022567692654915,0.2790247603348329,0.12601919241953916,0.08172852289596452,1.0,0.10249807894728613,-0.11596474232355651,0.267887706073845
GLD,0.05599903982284574,0.06771078818865457,0.045951730374573646,0.05293173700648703,0.05600964446426931,0.10249807894728613,1.0,0.20988329377775755,0.1478582313142358
TLT,0.07181380737020127,0.0254025354564272,-0.07493619871979376,0.09500997455681516,0.04758548898147932,-0.11596474232355651,0.20988329377775755,1.0,0.08664050691621271
SPY,0.7205723893672596,0.6894992580814979,0.6189438592772308,0.15837655848430646,0.7032085687576197,0.267887706073845,0.1478582313142358,0.08664050691621271,1.0
