,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),"Historical VaR 95% (Daily, %)","Parametric VaR 95% (Daily, %)","CVaR 95% (Daily, %)",Beta (vs. SPY),"Jensen's Alpha (Annualized, %)"
AAPL,15.271,28.058,0.489,0.706,0.457,-33.434,-2.743,-2.835,-3.989,1.172,4.199
MSFT,11.018,28.156,0.355,0.534,0.293,-37.556,-2.696,-2.86,-3.819,1.125,0.835
JPM,18.056,24.496,0.62,0.864,0.444,-40.645,-2.421,-2.46,-3.592,0.879,8.049
JNJ,8.205,17.517,0.286,0.432,0.347,-23.628,-1.698,-1.778,-2.331,0.161,3.708
AMZN,10.228,36.4,0.328,0.492,0.184,-55.726,-3.331,-3.707,-5.003,1.484,-0.14
XOM,23.131,26.797,0.747,1.097,1.12,-20.651,-2.697,-2.68,-3.841,0.416,16.624
GLD,19.586,18.555,0.82,1.079,0.742,-26.405,-1.795,-1.845,-2.694,0.159,13.926
TLT,-11.24,15.72,-0.96,-1.51,-0.24,-46.835,-1.701,-1.671,-2.184,0.079,-15.73
SPY,11.685,17.254,0.472,0.654,0.461,-25.361,-1.671,-1.738,-2.467,1.0,0.0
